,id,conversation_id,actor_id,type,message
0,0,0,706292099,1,"Hi Shout, my name is Randall, my grandmother Eric is causing me to feel enraged"
1,1,1,455368387,1,It is all good
2,2,2,364548939,1,"Hello there, I am feeling particularly enraged about my current situation in the matrix, I am inquiring if I could get some input or advice with this,
 thank you, Zachary."
3,3,3,200751007,1,"Sometimes I think i feel worried, about my friends asking me questions...yeah, i would rather be playing tennis"
4,4,4,654933352,1,I need some help please
5,5,5,861782568,1,"Hi there, I am feeling slightly anxious about my current situation with my parents, I am inquiring if I could get some help or guidance with this,
 thank you, Lisa."
6,6,6,062585503,1,I need some words of advice please
7,7,7,873054483,1,", this is Melissa and this past month has left me feeling slightly anxious in relation to my current predicament with life, I am in need of guidance,
 thank you."
8,8,8,228256734,1,"Hi Shout, these last few weeks has left me feeling somewhat heartbroken in relation to my situation at the moment, I am in need of input, 
 thank you, Michelle."
9,9,9,798888914,1,"Good afternoon Shout, this is Nina and these last few days has left me feeling pretty somber in relation to my current predicament with friends, I am in need of advice or support,
 thank you."
10,10,10,374182248,1,"Derrick here. I am currently feeling slightly anxious. Is there any chance I could get some guidance, 
 thank you."
11,11,11,470475114,1,"Hi Shout, my name is Robert, my uncle Mary is causing me to feel stressed"
12,12,12,222996895,1,"Hi Shout, I am Amy I am feeling a bit upset"
13,13,13,547555802,1,"Hi Shout, my name is Dennis, my uncle John is causing me to feel agitated"
14,14,14,477047526,1,", this past month has left me feeling particularly enraged in relation to my situation with life, I am in need of guidance, 
 thank you, Steven."
15,15,15,155197732,1,"Hi Shout, my name is Robert, my brother Ashley is causing me to feel angry"
16,16,16,488229117,1,"Hello there, this week has left me feeling awfully miserable in relation to my situation in the matrix, I am in need of input or advice, 
 thank you, Calvin."
17,17,17,088097820,1,It is all good
18,18,18,349234029,1,I need some input please
19,19,19,691063241,1,"Hi Shout, my name is Theresa, my sister Cassidy is causing me to feel glum"
20,20,20,038923605,1,"Good morning Shout, this last month has left me feeling awfully miserable in relation to my current situ with family, I am in need of support,
 thank you."
21,21,21,387157310,1,"Hello there, this week has left me feeling extremely angry in relation to my situation in the matrix, I am in need of input or advice, 
 thank you, Henry."
22,22,22,857321235,1,"Hey there, I am feeling kind of dejected about my current situation with my development as a person, I am wondering if I could get some help or input with this,
 thank you."
23,23,23,106701829,1,"Good afternoon Shout, these last few days has left me feeling sort of unhappy in relation to my current situ with friends, I am in need of advice or support,
 thank you."
24,24,24,510432369,1,"Sometimes I think i feel heartbroken, about my friends asking me questions...yeah, i would rather be playing tennis"
25,25,25,074984031,1,"Christine here. I am currently feeling extremely angry. Is there any chance I could get some input, 
 thank you."
26,26,26,020068450,1,"Good evening Shout, I am feeling seriously agitated about my current situation with relationship, I am thinking if I could get some words of advice with this,
 thank you, Eric."
27,27,27,150136899,1,"Hi Shout, my name is Charlene, my son Jasmine is causing me to feel glum"
28,28,28,009714861,1,"Hi there, I am feeling kind of dejected about my current situation with my parents, I am wondering if I could get some help or guidance with this,
 thank you, Tristan."
29,29,29,176736237,1,"Hi Shout, I am Paul I am feeling a bit agitated"
30,30,30,680856700,1,"Hello Shout, I am feeling deeply depressed about my current situation at home, I am inquiring if I could get some help with this,
 thank you, Mariah."
31,31,31,533084942,1,"Christopher here. I am currently feeling seriously agitated. Is there any chance I could get some help or input, 
 thank you."
